Square Footage,Bedrooms,Bathrooms,Location,Garage,Swimming Pool,House Age,House Price ($)
4174,3,3,Muzaffarpur,1,1,48,1008528
4507,2,1,Faridabad,0,1,22,927371
1860,5,2,Tirupati,1,1,49,667085
2294,3,2,Bhubaneswar,0,1,37,689442
2130,2,2,Jalandhar,2,1,7,669960
2095,3,2,Chhapra,0,0,42,534705
4772,1,2,Varanasi,0,1,13,988957
4092,4,1,Guwahati,0,0,20,874595
2638,2,3,Karimnagar,1,1,15,752778
3169,5,1,Nashik,1,0,38,779289
1466,1,2,Bijapur,2,1,34,640552
2238,2,2,Siliguri,1,0,36,552140
1330,1,3,Rampur,0,0,46,403868
2482,5,1,Visakhapatnam,1,1,25,761431
3135,2,3,Amravati,1,1,29,786429
4444,5,3,Ahmedabad,0,0,47,914265
4171,3,1,Rourkela,2,1,28,982040
3919,5,3,Bangalore,1,1,14,955209
4735,3,1,Amritsar,2,1,4,1130423
1130,2,1,Nellore,0,1,38,487100
2685,3,2,Raipur,1,0,7,601531
4380,2,3,Visakhapatnam,2,1,13,1060018
1769,2,2,Visakhapatnam,2,1,17,674969
3391,4,3,Bilaspur,0,1,29,838622
2515,2,3,Ulhasnagar,1,1,17,769993
4485,3,2,Warangal,2,0,36,966735
3853,4,2,Thane,2,1,19,1041751
3433,4,2,Karimnagar,2,1,26,959744
2215,2,1,Ludhiana,2,1,45,738735
1955,5,3,Bangalore,2,0,9,696275
3324,5,1,Karimnagar,2,1,2,930613
2184,4,3,Patna,2,0,20,695378
1459,2,3,Surat,2,1,23,674775
4385,5,1,Mumbai,2,1,18,1117814
1021,2,1,Kadapa,2,0,26,424771
3300,2,3,Thane,1,0,25,754394
1747,4,2,Kanpur,0,1,17,599042
3904,4,2,Ulhasnagar,0,1,39,957041
4632,1,2,Vijayawada,0,1,49,1013974
1474,5,2,Gandhinagar,2,1,10,664897
2082,5,3,Tirupati,0,1,25,690046
3558,5,2,Kollam,2,0,46,891069
4753,3,2,Agra,1,1,28,1081555
3047,2,2,Mumbai,0,0,26,628622
4547,4,3,Kakinada,1,0,12,955989
3747,5,1,Dehradun,1,1,44,943916
1975,1,2,Nanded,2,1,49,701310
2806,5,3,Srinagar,0,0,19,656853
1189,2,3,Bareilly,1,0,23,479612
4005,2,2,Madurai,0,1,14,881891
3734,4,1,Nashik,1,0,17,775601
4005,3,1,Puducherry,1,0,15,857472
1562,4,1,Bikaner,2,0,21,599985
2899,5,3,Mysore,0,1,38,814868
4638,1,2,Vadodara,2,1,30,1089827
2267,4,2,Kottayam,2,0,19,675015
3879,3,3,Coimbatore,2,0,32,947002
2528,4,2,Tiruchirappalli,2,1,29,827398
4202,2,2,Ranchi,2,1,22,990588
4556,5,1,Coimbatore,1,0,20,1010460
4890,5,2,Pune,0,1,38,1063725
1646,5,2,Bangalore,0,1,38,659583
3068,5,3,Gandhinagar,2,1,36,892952
3888,5,3,Hapur,0,1,1,905513
3214,5,1,Ambala,1,1,19,903291
2297,1,3,Surat,2,0,43,701391
3435,3,1,Bhavnagar,1,0,26,772984
1600,5,1,Salem,1,1,7,580774
3363,3,2,Chennai,2,1,34,904815
3061,5,1,Chandigarh,1,1,36,885068
1241,4,2,Guntur,2,1,6,635565
3041,5,1,Bhiwandi,1,0,37,767681
3824,2,3,Jhansi,0,0,22,762572
4417,1,3,Ranchi,0,1,9,925534
3612,4,3,Bhubaneswar,0,1,43,880707
3945,4,1,Nellore,2,1,29,969120
2363,2,1,Hubli,1,1,17,693245
3139,5,2,Patna,1,1,13,819676
2390,1,2,Indore,0,0,17,528727
4003,4,2,Kadapa,0,0,10,775145
2478,1,2,Chhapra,2,1,25,729564
4499,4,1,Hyderabad,2,1,18,1116151
3556,5,1,Belgaum,1,0,49,859330
1775,4,2,Visakhapatnam,2,0,44,668491
1034,4,1,Chennai,2,0,15,473763
3253,3,1,Rourkela,2,1,27,893603
4152,5,1,Parbhani,0,0,19,897626
2955,2,1,Gopalpur,0,1,15,747664
2585,2,2,Agra,1,1,45,706793
4943,5,2,Delhi,2,0,7,1042036
4459,2,1,Bijapur,0,1,43,987525
4073,5,3,Chennai,2,0,40,978580
2021,2,2,Jodhpur,1,1,16,638886
4461,3,2,Arrah,2,0,24,980680
3613,2,3,Visakhapatnam,1,0,23,752847
2129,4,2,Madurai,1,0,11,542380
4843,5,3,Jamshedpur,0,0,24,1026655
4893,1,3,Kadapa,2,1,5,1136463
2500,1,1,Mysore,0,0,39,513362
1702,5,2,Etawah,2,0,48,625936
3449,3,3,Rajahmundry,2,0,30,874485
3777,2,1,Karimnagar,1,0,16,770429
2579,3,2,Moradabad,1,1,20,790696
1161,1,1,Shillong,2,0,29,425388
1201,5,1,Coimbatore,0,1,17,541312
2981,5,3,Srinagar,1,1,19,836570
1995,3,2,Gandhinagar,1,1,26,618328
3317,3,1,Thane,2,0,15,804469
4934,2,3,Coimbatore,2,1,25,1139589
1815,4,3,Ludhiana,1,0,15,516220
4342,4,1,Jodhpur,0,0,20,865813
1455,2,1,Bilaspur,1,0,30,473864
4533,4,3,Visakhapatnam,2,1,21,1111529
4798,1,1,Rampur,1,0,47,953674
2275,4,1,Belgaum,2,1,35,735256
2016,2,2,Karimnagar,1,1,44,675031
4773,4,3,Mathura,2,1,6,1118229
3343,5,1,Hapur,2,1,37,982927
4796,3,3,Bilaspur,0,0,11,964560
3767,1,2,Muzaffarpur,2,0,23,887259
4820,5,3,Vadodara,1,0,44,1102061
1337,5,3,Lucknow,2,0,39,633345
1878,2,3,Nanded,1,0,9,489415
2076,3,2,Shillong,0,1,18,616880
1791,3,2,Visakhapatnam,1,1,46,646150
4993,1,3,Lucknow,0,1,36,1012557
3264,2,3,Lucknow,0,0,40,711928
1763,1,2,Nanded,2,1,48,694825
3235,4,1,Kakinada,0,0,36,765204
1379,5,2,Patna,1,1,28,656274
1492,1,3,Jodhpur,0,1,19,511464
4112,5,1,Faridabad,0,1,30,997329
2180,2,1,Panipat,2,0,38,611763
3062,4,1,Siliguri,1,0,15,733566
4884,2,2,Faridabad,0,0,44,954741
1064,4,2,Kolkata,2,0,12,467752
4928,4,2,Jaipur,2,1,2,1138672
4910,5,2,Ulhasnagar,1,0,9,1007893
3568,2,3,Firozabad,2,0,35,864556
